keywords,_collection_id,collection_id,variable_id,preset,tipo_estabelecimento,sizing_variable_id,indicator_label,indicator_id,variant_of,indicator_type,filter,m_description,variant_label,measure_unit,indicator_path,Tipo,skip,m_description,m_year,m_link_title1,m_link_1,m_link_title2,m_link_2,Arquivo,metodology
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_ue,cem_saude_2024,HOSPITAL,int_inst_ue,Instalações de Urgência/Emergência,HOSPITAL_bool_inst_ue,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Instalações,,,Presença e quantidade de instalações físicas de emergência no hospital.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_bool_inst_ue.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_un,cem_saude_2024,HOSPITAL,int_inst_un,Instalações de Atendimento Neonatal,HOSPITAL_bool_inst_un,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Instalações,,,Presença e quantidade de instalações físicas de atendimento neonatal no hospital.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_bool_inst_un.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_leitos,cem_saude_2024,HOSPITAL,int_leitos_sus,Leitos SUS,HOSPITAL_bool_leitos,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Infraestrutura,,,Presença e quantidade de leitos no hospital.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_bool_leitos.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_ah,cem_saude_2024,HOSPITAL,,Presença de instalações de Atendimento Hospitalar,HOSPITAL_bool_inst_ah,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Instalações,,,Presença de instalações de Atendimento Hospitalar no hospital.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_bool_inst_ah.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_leitos,cem_saude_2024,HOSPITAL,,Quantidade Leitos,HOSPITAL_int_leitos,,numerical_size,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Int,,TRUE,Quantidade de leitos no hospital.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_int_leitos.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_leitos_dif,cem_saude_2024,HOSPITAL,,Quantidade de Leitos Diferentes,HOSPITAL_int_leitos_dif,,numerical_size,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Int,,TRUE,Quantidade de leitos SUS no hospital.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_int_leitos_dif.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_leitos_sus,cem_saude_2024,HOSPITAL,,Quantidade de Leitos SUS,HOSPITAL_int_leitos_sus,,numerical_size,"{str_tipo_estabelecimento: ['==', 'HOSPITAL']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Hospitais / Int,,TRUE,Quantidade de leitos de tipos diferentes no hospital.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/HOSPITAL_int_leitos_sus.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_equipamentos,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Quantidade de Equipamentos,UNIDADE_BASICA_DE_SAUDE_int_equipamentos,,numerical_size,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Infraestrutura,,,Quantidade de equipamentos médicos de quaisquer tipos disponíveis na UBS.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_int_equipamentos.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_equipamentos_dif,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Quantidade de Equipamentos Diferentes,UNIDADE_BASICA_DE_SAUDE_int_equipamentos_dif,,numerical_size,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Infraestrutura,,,Diversidade de equipamentos disponíveis no hospital. Medida que contabiliza tipos diferentes de equipamentos por UBS.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_int_equipamentos_dif.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_esp_dif,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Quantidade de especializações diferentes,UNIDADE_BASICA_DE_SAUDE_int_esp_dif,,numerical_size,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Profissionais,,,Quantidade de especializações profissionais distintas na UBS.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_int_esp_dif.md
